RI,Na,Mg,Al,Si,'K',Ca,Ba,Fe,Type
35,11,11,16,41,29,18,0,0,0
22,3,11,23,40,25,13,0,0,1
35,21,11,26,23,26,6,0,0,0
3,41,5,28,48,0,3,0,0,2
68,4,0,13,0,10,31,0,6,3
22,9,6,27,42,25,19,1,5,3
34,26,11,5,41,2,20,0,0,1
46,20,6,23,38,24,20,0,0,0
8,34,0,43,45,5,20,2,2,4
35,20,12,23,20,24,8,0,6,3
22,24,11,27,28,16,3,0,0,3
32,4,7,17,46,27,20,0,6,3
63,21,11,9,10,10,28,0,0,0
57,32,11,5,7,9,24,0,0,1
23,20,11,32,22,26,4,0,5,1
27,26,11,30,22,27,3,0,0,3
28,41,0,38,41,0,13,3,4,4
22,9,7,27,43,30,3,0,0,3
50,23,0,32,41,17,30,0,0,5
40,16,7,27,40,26,19,1,0,3
58,19,11,12,18,13,27,0,5,0
66,0,0,37,17,33,31,0,6,3
48,16,11,15,20,29,20,0,5,3
33,25,11,19,34,25,3,0,5,0
52,12,4,42,15,32,25,1,8,5
10,22,11,27,42,15,3,0,0,3
14,11,11,37,39,30,3,0,0,3
24,41,0,38,43,0,10,3,3,4
25,22,11,27,36,25,3,0,0,3
16,24,11,23,25,25,4,0,0,1
23,16,11,30,42,30,3,0,0,3
45,24,8,28,14,25,20,0,0,1
0,41,0,1,48,0,1,0,0,2
22,26,11,28,22,30,3,0,0,3
33,17,11,23,41,25,5,0,5,0
11,9,11,29,42,30,3,0,6,0
14,11,11,30,40,29,3,0,6,0
30,4,6,30,40,30,20,0,0,3
23,12,11,27,41,30,3,1,6,3
5,37,7,39,20,33,3,0,0,3
37,9,11,23,40,29,18,0,0,0
38,17,11,13,42,25,4,0,5,3
22,17,11,28,35,26,3,0,0,3
14,22,8,27,42,16,3,0,0,3
49,26,11,8,24,11,20,1,6,1
33,9,11,20,42,26,17,0,0,0
6,31,5,44,0,34,0,4,0,5
33,21,11,23,22,25,3,0,0,0
35,19,11,23,39,26,10,0,0,0
60,20,11,17,31,23,10,0,0,3
33,7,11,23,45,26,14,0,3,0
48,20,11,13,35,25,6,1,5,3
32,23,11,16,42,26,3,0,0,0
14,20,11,28,42,30,3,0,0,3
22,41,0,43,38,0,23,2,0,4
31,17,11,30,30,23,8,0,3,0
64,41,5,38,1,32,26,0,0,4
55,27,11,16,10,6,22,0,0,0
34,26,11,15,33,9,16,0,0,1
48,25,12,23,22,21,4,0,0,3
48,26,12,23,10,23,4,0,6,3
49,26,11,15,23,10,18,0,0,0
9,23,11,20,31,25,15,0,0,0
63,35,11,2,7,9,24,0,0,0
64,27,11,2,6,6,28,0,5,0
8,28,0,43,42,10,23,3,2,4
49,20,7,23,21,26,20,0,5,0
62,35,11,13,5,13,20,0,7,1
68,0,0,41,0,26,31,4,6,3
58,19,11,12,20,13,27,0,5,0
42,41,5,30,22,0,21,0,0,2
48,26,11,23,22,25,3,0,5,3
48,41,2,30,22,0,27,0,0,2
42,22,12,26,20,24,4,0,5,3
64,23,11,9,10,10,28,0,2,0
22,26,11,27,22,29,3,0,0,3
33,7,11,27,42,25,14,0,0,0
2,17,11,16,41,27,4,0,6,0
22,18,10,23,41,21,15,0,0,1
29,16,11,23,41,25,6,0,0,0
33,11,11,23,41,26,15,0,0,0
31,23,11,21,42,24,3,0,0,0
57,39,12,11,5,0,24,0,0,1
34,21,9,23,31,26,15,0,0,0
